season,game_id,period,team,teamCode,shooterName,shotType,xCordAdjusted,yCordAdjusted,shotDistance,shotAngleAdjusted,shotRebound,shotRush,shotOnEmptyNet,homeSkatersOnIce,awaySkatersOnIce,goal
2022,20699,3,HOME,BOS,Player0,WRIST,78.4,-18.9,21.7,60.6,0,0,0,5,5,0
2022,20718,3,AWAY,TOR,Player1,WRIST,82.9,-16.8,17.9,70.1,0,0,0,5,5,0
2023,20231,3,HOME,COL,Player2,WRIST,84.6,15.0,15.6,73.6,0,0,0,5,5,0
2022,21236,2,HOME,VGK,Player3,WRIST,70.3,12.6,22.6,33.9,0,0,0,4,5,0
2023,20676,3,AWAY,VGK,Player4,WRIST,76.1,-8.1,15.2,32.2,0,0,0,5,5,0
2022,21013,1,HOME,CAR,Player5,WRIST,62.7,13.8,29.7,27.7,0,0,0,5,5,0
2022,20159,3,HOME,NYR,Player6,WRIST,73.5,-17.4,23.3,48.3,0,0,0,5,5,0
2023,21203,3,AWAY,PIT,Player7,DEFLECTED,82.0,-20.1,21.2,70.9,0,0,0,5,5,1
2023,21106,2,HOME,VGK,Player8,WRIST,83.7,-5.0,7.3,43.3,0,0,0,5,5,0
2023,20799,1,HOME,BOS,Player9,SLAP,88.0,4.2,4.3,77.2,1,0,0,5,5,0
2022,21251,3,HOME,TOR,Player10,WRIST,81.1,-0.1,7.9,0.7,0,0,0,4,5,0
2022,20058,2,AWAY,VGK,Player11,BACKHAND,77.9,21.3,24.1,62.4,0,0,0,5,5,0
2023,20735,1,HOME,TOR,Player12,WRIST,83.9,-20.3,21.0,76.0,0,0,0,4,5,0
2023,20196,3,AWAY,CAR,Player13,WRIST,84.1,-3.6,6.0,36.6,0,0,0,5,5,0
2023,20034,3,HOME,CAR,Player14,WRIST,66.8,8.9,23.9,21.8,0,0,0,4,5,0
2023,20861,3,HOME,TOR,Player15,WRIST,78.2,-4.7,11.8,23.5,0,1,0,4,5,0
2023,21232,3,HOME,TOR,Player16,SNAP,78.2,-4.9,11.8,24.3,0,0,0,5,5,0
2023,20900,2,HOME,COL,Player17,WRIST,76.4,-35.3,37.5,70.3,0,0,0,5,5,0
2023,20347,3,AWAY,BOS,Player18,SLAP,75.7,15.1,20.1,48.6,0,0,0,4,6,0
2022,20678,2,AWAY,EDM,Player19,WRIST,72.9,-15.9,22.6,44.7,0,0,0,5,5,0
2023,20901,3,AWAY,BOS,Player20,WRIST,72.1,-15.3,22.8,42.0,0,0,0,4,5,0
2023,20962,2,HOME,BOS,Player21,WRIST,83.8,3.0,5.9,29.8,0,1,0,4,6,1
2022,20385,1,HOME,TOR,Player22,WRIST,70.0,13.8,23.5,35.9,0,0,0,6,5,0
2022,20999,1,AWAY,VGK,Player23,TIP-IN,23.7,12.3,66.5,10.7,0,0,0,6,5,0
2023,20455,1,HOME,VGK,Player24,WRIST,81.9,4.5,8.4,32.3,0,0,0,5,4,0
2022,20035,3,AWAY,BOS,Player25,BACKHAND,66.5,21.8,31.3,44.0,0,0,0,4,5,0
2023,20657,3,AWAY,PIT,Player26,BACKHAND,61.7,19.1,33.4,35.0,0,0,0,5,4,0
2022,21001,2,HOME,TOR,Player27,WRIST,69.9,-27.0,33.0,54.7,0,0,0,5,4,0
2023,20138,3,AWAY,EDM,Player28,WRIST,81.1,-10.5,13.2,53.1,0,0,0,5,5,0
2023,20163,1,HOME,CAR,Player29,WRIST,79.3,-12.1,15.5,51.2,0,0,0,5,5,0
2022,20429,2,HOME,MTL,Player30,TIP-IN,81.5,-3.9,8.5,27.5,0,0,0,5,5,0
2022,20883,1,AWAY,MTL,Player31,BACKHAND,81.9,-17.5,18.9,67.8,0,0,0,5,5,0
2022,20554,1,HOME,PIT,Player32,TIP-IN,52.6,23.4,43.3,32.8,0,0,0,5,5,0
2023,20071,1,AWAY,PIT,Player33,DEFLECTED,84.0,10.8,11.9,65.1,0,0,0,4,5,0
2023,20742,3,AWAY,TOR,Player34,SNAP,85.8,-1.6,3.6,27.0,0,0,0,5,5,1
2022,21029,1,AWAY,TOR,Player35,DEFLECTED,86.3,-20.1,20.3,82.4,0,0,0,5,5,0
2023,20888,1,HOME,CAR,Player36,WRIST,77.4,-31.4,33.5,69.6,0,0,0,5,5,0
2023,20413,3,HOME,MTL,Player37,TIP-IN,75.4,-9.7,16.7,35.4,0,1,0,5,5,0
2023,21107,3,AWAY,PIT,Player38,WRIST,47.0,31.8,52.7,37.2,0,0,0,5,5,0
2023,20668,2,AWAY,TOR,Player39,SNAP,76.7,12.4,17.5,45.3,1,0,0,5,5,0
2022,21162,3,HOME,VGK,Player40,BACKHAND,77.3,-16.1,19.9,54.0,0,0,0,5,4,0
2023,20124,3,AWAY,TBL,Player41,WRIST,80.7,3.6,9.1,23.7,0,0,0,5,5,0
2023,20631,1,HOME,MTL,Player42,SLAP,80.1,-13.0,15.8,55.8,0,0,0,5,3,0
2023,20534,1,AWAY,CAR,Player43,WRIST,77.3,30.6,32.8,69.1,0,0,0,4,5,0
2022,20735,1,HOME,COL,Player44,SLAP,71.3,27.9,33.1,57.6,0,0,0,5,4,0
2023,20987,2,AWAY,EDM,Player45,SNAP,51.6,17.1,41.1,24.5,0,0,0,5,5,0
2023,20448,3,HOME,BOS,Player46,WRIST,81.0,-30.4,31.4,75.2,0,0,0,6,5,0
2022,20683,2,AWAY,TBL,Player47,WRIST,73.7,22.5,27.2,55.8,0,0,0,4,5,0
2023,20288,3,HOME,MTL,Player48,TIP-IN,87.4,-3.0,3.4,62.4,0,0,0,5,5,0
2023,20734,1,HOME,NYR,Player49,WRIST,85.2,-10.3,10.9,69.8,0,0,0,5,5,0
2023,20833,2,HOME,TBL,Player50,WRIST,28.0,-42.5,74.4,34.8,0,0,0,5,5,0
2022,20813,2,HOME,NYR,Player51,SLAP,77.2,-7.0,13.7,30.9,0,0,0,5,5,0
2022,20908,1,HOME,MTL,Player52,WRIST,61.5,11.4,29.8,22.4,0,1,0,5,5,0
2022,20132,3,AWAY,VGK,Player53,WRIST,81.0,17.0,18.8,64.8,0,0,0,5,5,0
2023,20658,3,HOME,MTL,Player54,WRIST,65.4,-19.0,30.3,38.8,0,0,0,5,5,0
2023,20496,2,HOME,BOS,Player55,SLAP,71.0,9.9,20.5,28.8,0,0,0,5,5,0
2022,20993,2,HOME,TBL,Player56,WRIST,84.4,8.4,9.6,61.4,0,0,0,5,5,0
2023,20190,2,HOME,NYR,Player57,WRIST,78.4,-4.0,11.3,20.7,0,0,0,5,5,0
2023,20775,3,HOME,EDM,Player58,WRIST,66.0,8.7,24.6,20.7,0,0,0,5,5,0
2023,20702,3,AWAY,EDM,Player59,WRIST,78.7,9.5,14.1,42.7,0,0,0,5,5,0
2023,20547,3,HOME,MTL,Player60,WRIST,86.1,2.1,3.6,35.3,1,1,0,5,5,0
2022,20467,3,HOME,PIT,Player61,BACKHAND,67.8,-17.4,27.5,39.4,0,0,0,5,5,0
2023,21218,3,AWAY,NYR,Player62,WRIST,55.5,-14.9,36.7,24.0,0,0,0,6,5,0
2023,20798,3,HOME,PIT,Player63,WRIST,67.6,-27.5,34.8,52.2,0,1,0,5,5,0
2022,21063,1,AWAY,PIT,Player64,SLAP,61.3,21.8,35.3,38.2,0,0,0,4,4,0
2023,20131,3,AWAY,COL,Player65,BACKHAND,86.5,5.5,6.0,65.6,0,1,0,5,5,0
2022,20580,2,HOME,NYR,Player66,SLAP,46.8,27.9,50.6,33.5,0,0,0,4,6,0
2022,21106,2,HOME,EDM,Player67,SNAP,75.7,-11.9,17.9,41.9,0,1,0,5,5,0
2023,20610,2,AWAY,EDM,Player68,SLAP,79.3,3.2,10.2,18.1,0,0,0,5,5,0
2022,20041,3,HOME,TBL,Player69,WRIST,74.7,-2.9,14.6,11.4,0,1,0,5,3,0
2022,20264,1,HOME,TOR,Player70,WRIST,85.1,-11.3,12.0,71.0,0,0,0,5,5,0
2023,21105,1,HOME,NYR,Player71,WRIST,86.1,-7.2,7.8,68.0,0,0,0,5,5,0
2022,20876,1,AWAY,TOR,Player72,SLAP,72.8,10.8,19.5,33.8,0,0,0,3,5,0
2022,20492,3,AWAY,EDM,Player73,SLAP,79.1,-19.5,21.9,63.0,0,0,0,5,5,0
2022,20098,3,HOME,NYR,Player74,WRIST,73.3,-6.9,17.2,23.8,0,0,0,5,5,0
2022,20622,2,HOME,NYR,Player75,WRIST,75.9,17.4,21.8,53.1,0,0,0,6,5,0
2023,20778,2,AWAY,BOS,Player76,SLAP,79.9,-15.0,17.5,58.9,0,0,0,6,4,0
2022,20329,1,AWAY,EDM,Player77,BACKHAND,83.2,-10.3,11.8,60.6,0,1,0,4,3,0
2023,20809,1,HOME,TBL,Player78,WRIST,84.2,-12.3,13.2,68.7,0,0,0,6,5,0
2023,21144,2,AWAY,COL,Player79,WRIST,68.8,-18.0,27.0,41.7,0,1,0,4,5,0
2023,20622,3,AWAY,MTL,Player80,TIP-IN,83.4,-3.3,6.5,30.7,0,0,0,4,5,0
2023,20777,2,AWAY,PIT,Player81,DEFLECTED,79.7,-10.0,13.6,47.2,0,0,0,5,4,0
2022,20131,3,HOME,PIT,Player82,WRIST,61.8,-21.0,34.4,37.6,0,1,0,5,5,0
2022,20497,3,AWAY,TBL,Player83,WRIST,68.9,-10.7,22.7,28.0,0,0,1,5,4,0
2023,21198,1,HOME,COL,Player84,SNAP,63.1,13.3,29.1,27.2,0,0,0,5,5,0
2023,20741,3,AWAY,VGK,Player85,WRIST,78.5,-16.6,19.6,57.6,0,0,0,5,5,0
2023,20036,1,AWAY,VGK,Player86,WRIST,87.1,-8.0,8.2,76.4,0,1,0,5,5,0
2023,20027,3,HOME,COL,Player87,SNAP,80.6,-12.5,15.0,56.1,0,1,0,6,5,0
2022,20775,2,AWAY,VGK,Player88,SLAP,71.7,-12.2,21.2,35.3,0,0,0,5,5,0
2022,21199,2,AWAY,TBL,Player89,WRIST,80.7,12.5,15.0,56.5,0,0,0,5,5,0
2022,20292,1,AWAY,VGK,Player90,TIP-IN,79.0,-14.4,17.5,55.0,0,0,0,6,5,0
2023,21067,3,AWAY,COL,Player91,TIP-IN,82.1,20.9,22.0,71.8,0,0,0,5,5,1
2022,21232,3,HOME,TOR,Player92,WRIST,68.5,26.3,33.3,52.1,0,0,0,5,5,0
2022,21170,2,AWAY,EDM,Player93,BACKHAND,78.6,-10.0,14.4,43.9,0,0,0,4,5,1
2022,21062,1,AWAY,MTL,Player94,WRIST,87.9,-38.8,38.9,88.3,0,0,0,4,5,0
2022,20737,3,AWAY,TOR,Player95,WRIST,79.0,-17.0,19.7,59.6,0,0,0,5,6,0
2022,20519,3,HOME,VGK,Player96,SLAP,64.3,-25.2,35.3,45.5,0,0,0,5,5,0
2022,21235,1,AWAY,EDM,Player97,WRIST,57.6,21.8,38.3,34.8,0,0,0,6,5,0
2022,20557,2,HOME,EDM,Player98,WRIST,48.5,33.4,52.5,39.5,0,1,0,5,5,0
2022,21054,3,AWAY,TBL,Player99,WRIST,53.2,9.3,37.0,14.6,0,0,0,5,4,0
2022,20350,1,AWAY,MTL,Player100,TIP-IN,81.0,-36.4,37.2,77.5,0,0,0,5,5,0
2023,20595,1,AWAY,VGK,Player101,WRIST,62.6,44.4,51.7,59.3,0,0,0,5,5,0
2023,20378,3,AWAY,COL,Player102,SLAP,87.7,-4.9,5.1,75.4,0,1,0,5,5,0
2022,20798,1,HOME,TBL,Player103,WRIST,81.2,6.1,9.9,38.0,0,1,0,5,5,0
2022,20932,3,AWAY,PIT,Player104,WRIST,71.2,31.9,36.5,60.8,0,0,0,5,5,0
2022,20256,3,HOME,VGK,Player105,SLAP,86.5,1.8,3.1,36.5,0,0,0,5,5,0
2022,20811,2,HOME,EDM,Player106,WRIST,67.0,-3.9,22.3,10.0,0,0,0,5,5,0
2023,20673,2,HOME,NYR,Player107,WRIST,73.9,16.3,22.2,47.2,0,0,0,4,5,0
2022,20277,3,AWAY,CAR,Player108,BACKHAND,85.0,-4.7,6.2,49.1,0,0,0,5,4,0
2022,20019,3,HOME,EDM,Player109,SNAP,80.7,6.0,10.3,35.7,0,0,0,5,5,0
2023,20610,2,HOME,CAR,Player110,WRIST,67.4,20.8,30.0,43.9,0,0,0,4,5,0
2022,21052,1,HOME,EDM,Player111,BACKHAND,88.7,-28.2,28.2,89.3,0,0,0,5,6,0
2022,20836,3,AWAY,BOS,Player112,WRIST,78.1,7.7,13.4,35.2,0,0,0,5,5,0
2023,20097,1,AWAY,CAR,Player113,WRIST,83.1,-9.4,11.1,57.9,0,0,0,5,5,0
2022,20633,1,AWAY,MTL,Player114,WRIST,78.2,5.4,12.1,26.6,0,1,0,6,5,0
2022,20292,3,AWAY,MTL,Player115,WRIST,74.2,22.7,27.1,57.0,1,0,0,5,5,0
2022,21187,2,AWAY,EDM,Player116,BACKHAND,82.6,-2.6,7.0,21.9,0,0,0,5,4,1
2022,20363,3,HOME,COL,Player117,WRIST,77.4,16.8,20.4,55.3,0,0,0,5,5,0
2023,21208,3,AWAY,EDM,Player118,TIP-IN,87.9,6.5,6.6,80.7,0,1,0,5,5,0
2023,20824,3,AWAY,BOS,Player119,BACKHAND,54.7,4.3,34.6,7.1,0,0,0,5,4,0
